file , total_code_churn , max_code_churn , average_code_churn , commits , contributors_num , minor_contributors_num , highest_contributors_percentage , median_number_of_hunk , total_added_line , max_added_line , average_added_line , total_removed_line , max_removed_line , average_removed_line
packages\SystemUI\src\com\android\systemui\tuner\TunerServiceImpl.java,105,105,105,1,1,0,100.0,17,122,122,122,17,17,17
packages\SystemUI\src\com\android\systemui\tuner\StatusBarTuner.java,61,61,61,1,1,0,100.0,1,61,61,61,0,0,0
packages\SystemUI\src\com\android\systemui\tuner\TunerFragment.java,-7,-7,-7,1,1,0,100.0,1,0,0,0,7,7,7
packages\SystemUI\src\com\android\systemui\statusbar\policy\BluetoothController.java,2,2,2,1,1,0,100.0,1,2,2,2,0,0,0
packages\SystemUI\src\com\android\systemui\statusbar\policy\BluetoothControllerImpl.java,19,19,19,1,1,0,100.0,4,19,19,19,0,0,0
packages\SystemUI\tests\src\com\android\systemui\utils\leaks\FakeBluetoothController.java,5,5,5,1,1,0,100.0,1,5,5,5,0,0,0
packages\SystemUI\src\com\android\systemui\screenshot\ScreenshotController.java,25,25,25,1,1,0,100.0,8,29,29,29,4,4,4
core\java\com\android\internal\content\om\OverlayConfig.java,9,9,9,1,1,0,100.0,6,29,29,29,20,20,20
core\tests\coretests\src\com\android\internal\content\res\OverlayConfigTest.java,0,0,0,1,1,0,100.0,2,2,2,2,2,2,2
services\core\java\com\android\server\om\OverlayManagerServiceImpl.java,1,1,1,1,1,0,100.0,1,2,2,2,1,1,1
services\core\java\com\android\server\om\OverlayManagerSettings.java,1,1,1,1,1,0,100.0,1,2,2,2,1,1,1
packages\SettingsProvider\src\com\android\providers\settings\SettingsService.java,61,61,61,1,1,0,100.0,41,105,105,105,44,44,44
services\java\com\android\server\SystemServer.java,23,23,23,1,1,0,100.0,2,23,23,23,0,0,0
core\java\android\content\res\AssetManager.java,2,2,1,2,2,0,50.0,1.5,3,2,2,1,1,0
core\java\android\app\LoadedApk.java,0,0,0,1,1,0,100.0,1,1,1,1,1,1,1
services\core\java\com\android\server\statusbar\StatusBarManagerService.java,11,11,11,1,1,0,100.0,1,11,11,11,0,0,0
core\java\android\app\admin\SystemUpdateInfo.java,0,0,0,1,1,0,100.0,2,2,2,2,2,2,2
services\core\java\com\android\server\am\UserController.java,0,0,0,1,1,0,100.0,1,1,1,1,1,1,1
services\core\java\com\android\server\pm\Settings.java,0,0,0,1,1,0,100.0,3,3,3,3,3,3,3
services\core\java\com\android\server\pm\ShortcutService.java,0,0,0,1,1,0,100.0,1,1,1,1,1,1,1
services\core\java\com\android\server\pm\UserManagerService.java,2,2,2,1,1,0,100.0,4,6,6,6,4,4,4
